香港频道,#genre# 
BBC World News,http://192.168.31.4:8083/stv.php?id=bbcnews_twn
BBC World News,http://192.168.31.4:8083/stv.php?id=Bbcnews
Bloomberg News,http://192.168.31.4:8083/stv.php?id=bloomberg_twn
Al-Jazeera,http://192.168.31.4:8083/stv.php?id=aljazeera_twn

儿童频道,#genre# 
Baby TV Eng,http://192.168.31.4:8083/stv.php?id=Babytv
CBeebies,http://192.168.31.4:8083/stv.php?id=Cbeebies
Kids TV,http://192.168.31.4:8083/stv.php?id=KidsTV
Momo TV,http://192.168.31.4:8083/stv.php?id=momo1_twn
Baby TV,http://192.168.31.4:8083/stv.php?id=babytv_twn
MiaoMi,http://192.168.31.4:8083/stv.php?id=MiaoMi
Cartoon Network,http://192.168.31.4:8083/stv.php?id=Cn
Nickelodeon,http://192.168.31.4:8083/stv.php?id=Nickelodeon
Nick Jr,http://192.168.31.4:8083/stv.php?id=Nickjr

新加坡频道,#genre# 
Channel 5,http://192.168.31.4:8083/stv.php?id=Channel5HD
Channel 8,http://192.168.31.4:8083/stv.php?id=Channel8HD
Suria,http://192.168.31.4:8083/stv.php?id=Suria
Channel U,http://192.168.31.4:8083/stv.php?id=ChannelU
Vasantham,http://192.168.31.4:8083/stv.php?id=Vasantham
CNA backup,http://192.168.31.4:8083/stv.php?id=cna_twn
MeWatch Ch 5,http://192.168.31.4:8083/stv.php?id=Mewatch_ch5
MeWatch Ch 8,http://192.168.31.4:8083/stv.php?id=Mewatch_ch8
MeWatch Ch U,http://192.168.31.4:8083/stv.php?id=Mewatch_chU
MeWatch Suria,http://192.168.31.4:8083/stv.php?id=Mewatch_Suria
MeWatch Vasantham,http://192.168.31.4:8083/stv.php?id=Mewatch_Vasantham
MeWatch CNA,http://192.168.31.4:8083/stv.php?id=Mewatch_cna

马来西亚频道,#genre# 
TV1,http://192.168.31.4:8083/stv.php?id=TV1
TV1 backup,http://192.168.31.4:8083/stv.php?id=TV1_backup
TV2,http://192.168.31.4:8083/stv.php?id=TV2
TV3,http://192.168.31.4:8083/stv.php?id=TV3
TV3 SD,http://192.168.31.4:8083/stv.php?id=TV3_mega
NTV7,http://192.168.31.4:8083/stv.php?id=NTV7
TV8,http://192.168.31.4:8083/stv.php?id=TV8
TV9,http://192.168.31.4:8083/stv.php?id=TV9
Ria,http://192.168.31.4:8083/stv.php?id=Ria-0
Ria-3,http://192.168.31.4:8083/stv.php?id=Ria_backup
Al-Hijrah,http://192.168.31.4:8083/stv.php?id=Alhijrah
Al-Hijrah backup,http://192.168.31.4:8083/stv.php?id=Alhijrah_backup
Awani,http://192.168.31.4:8083/stv.php?id=Awani
Bernama,http://192.168.31.4:8083/stv.php?id=Bernama
Prima,http://192.168.31.4:8083/stv.php?id=Prima-0
Prima backup,http://192.168.31.4:8083/stv.php?id=AAprima1
Prima backup 2,http://192.168.31.4:8083/stv.php?id=AAprima
Ceria,http://192.168.31.4:8083/stv.php?id=Ceria
Astro MTV,http://192.168.31.4:8083/stv.php?id=AstroMTV
Mecca Live HD,http://192.168.31.4:8083/stv.php?id=quran_mido
Madinah HD,http://192.168.31.4:8083/stv.php?id=sunnah_mido
Oasis,http://192.168.31.4:8083/stv.php?id=Oasis
Siar,http://192.168.31.4:8083/stv.php?id=Siar
Citra,http://192.168.31.4:8083/stv.php?id=AAcitra
Citra backup,http://192.168.31.4:8083/stv.php?id=AAcitra1
Sensasi,http://192.168.31.4:8083/stv.php?id=Sensasi
Aura,http://192.168.31.4:8083/stv.php?id=Aura
Rania,http://192.168.31.4:8083/stv.php?id=Rania
KBS World,http://192.168.31.4:8083/stv.php?id=KBS
Boo,http://192.168.31.4:8083/stv.php?id=Boo
Awesome TV,http://192.168.31.4:8083/stv.php?id=Dsangat
Astro Sonypix,http://192.168.31.4:8083/stv.php?id=Asonypix
Sony HD,http://192.168.31.4:8083/stv.php?id=SetOne
TvN,http://192.168.31.4:8083/stv.php?id=TVN
AEC,http://192.168.31.4:8083/stv.php?id=AEC
华丽台 HD （Wah Lai Toi）,http://192.168.31.4:8083/stv.php?id=Wlt
欢喜台 HD （Hua Hee Tai）,http://192.168.31.4:8083/stv.php?id=Huahee
Astro QJ,http://192.168.31.4:8083/stv.php?id=Quanjia
TVB Jade,http://192.168.31.4:8083/stv.php?id=Tvbjade
TVB Asia,http://192.168.31.4:8083/stv.php?id=Tvbasia
TVB Entertainment,http://192.168.31.4:8083/stv.php?id=Tvbentertainment
TVB Classic,http://192.168.31.4:8083/stv.php?id=Tvbclassic
AOD,http://192.168.31.4:8083/stv.php?id=Aodhd
TVB 星河台 Xing He,http://192.168.31.4:8083/stv.php?id=Xinhe
爱奇艺 iQiyi,http://192.168.31.4:8083/stv.php?id=Qiyi
Goshop,http://192.168.31.4:8083/stv.php?id=Goshop
Celestial Movies HD,http://192.168.31.4:8083/stv.php?id=Celestial
Astro LOL,http://192.168.31.4:8083/stv.php?id=Astro_lol
Astro Rusi,http://192.168.31.4:8083/stv.php?id=Rusi
WION,http://192.168.31.4:8083/stv.php?id=Wion
RTM Asean,http://192.168.31.4:8083/stv.php?id=Rtmasean

印尼频道,#genre# 
TVRI National,http://192.168.31.4:8083/stv.php?id=TVRI
RCTI,http://192.168.31.4:8083/stv.php?id=Rcti
Kompass TV,http://192.168.31.4:8083/stv.php?id=Kompass
