
4GTV,#genre#
視納華仁紀實頻道,http://192.168.31.4:19950/playlist?channel=%E8%A6%96%E7%B4%8D%E8%8F%AF%E4%BB%81%E7%B4%80%E5%AF%A6%E9%A0%BB%E9%81%93&token=3737
影迷數位紀實台,http://192.168.31.4:19950/playlist?channel=%E5%BD%B1%E8%BF%B7%E6%95%B8%E4%BD%8D%E7%B4%80%E5%AF%A6%E5%8F%B0&token=3737
金光布袋戲,http://192.168.31.4:19950/playlist?channel=%E9%87%91%E5%85%89%E5%B8%83%E8%A2%8B%E6%88%B2&token=3737
ROCK Action,http://192.168.31.4:19950/playlist?channel=ROCK%20Action&token=3737
采昌影劇台,http://192.168.31.4:19950/playlist?channel=%E9%87%87%E6%98%8C%E5%BD%B1%E5%8A%87%E5%8F%B0&token=3737
靖天映畫,http://192.168.31.4:19950/playlist?channel=%E9%9D%96%E5%A4%A9%E6%98%A0%E7%95%AB&token=3737
靖天電影台,http://192.168.31.4:19950/playlist?channel=%E9%9D%96%E5%A4%A9%E9%9B%BB%E5%BD%B1%E5%8F%B0&token=3737
影迷數位電影台,http://192.168.31.4:19950/playlist?channel=%E5%BD%B1%E8%BF%B7%E6%95%B8%E4%BD%8D%E9%9B%BB%E5%BD%B1%E5%8F%B0&token=3737
amc電影台,http://192.168.31.4:19950/playlist?channel=amc%E9%9B%BB%E5%BD%B1%E5%8F%B0&token=3737
CinemaWorld,http://192.168.31.4:19950/playlist?channel=CinemaWorld&token=3737
My Cinema Europe HD 我的歐洲電影,http://192.168.31.4:19950/playlist?channel=My%20Cinema%20Europe%20HD%20%E6%88%91%E7%9A%84%E6%AD%90%E6%B4%B2%E9%9B%BB%E5%BD%B1&token=3737

NHK WORLD-JAPAN,http://192.168.31.4:19950/playlist?channel=NHK%20WORLD-JAPAN&token=3737
FRANCE24 英文台,http://192.168.31.4:19950/playlist?channel=FRANCE24%20%E8%8B%B1%E6%96%87%E5%8F%B0&token=3737
半島國際新聞台,http://192.168.31.4:19950/playlist?channel=%E5%8D%8A%E5%B3%B6%E5%9C%8B%E9%9A%9B%E6%96%B0%E8%81%9E%E5%8F%B0&token=3737
CNBC Asia 財經台,http://192.168.31.4:19950/playlist?channel=CNBC%20Asia%20%E8%B2%A1%E7%B6%93%E5%8F%B0&token=3737
DW德國之聲,http://192.168.31.4:19950/playlist?channel=DW%E5%BE%B7%E5%9C%8B%E4%B9%8B%E8%81%B2&token=3737
